"","node","betweenness"
"1",3981,8989
"2",3984,0
"3",3990,9441
"4",4009,2266
"5",4022,16873
"6",4027,95400
"7",4028,147705
"8",4029,180332
"9",4045,15712
"10",4047,114881
"11",4056,8918
"12",4075,14470
"13",4077,572804
"14",4080,6783
"15",4085,18590
"16",4086,129798
"17",4087,15792
"18",4090,52329
"19",4093,1137
"20",4097,20992
"21",4101,6813
"22",4102,3207
"23",4109,6768
"24",4113,7855
"25",4118,1383
"26",4120,66411
"27",4121,46157
"28",4122,27346
"29",4125,4355
"30",4127,0
"31",4128,5653
"32",4144,6555
"33",4147,105837
"34",4149,35873
"35",4151,14623
"36",4152,4692
"37",4156,4
"38",4157,92602
"39",4167,45750
"40",4170,13529
"41",4182,17481
"42",4184,9013
"43",4185,15564
"44",4188,34471
"45",4201,4537
"46",4203,14785
"47",4207,49931
"48",4217,14197
"49",4219,0
"50",4223,0
"51",4231,20809
"52",4232,81946
"53",4234,62473
"54",4242,27683
"55",4247,2257
"56",4249,0
"57",4255,1156
"58",4259,56
"59",4262,8903
"60",4273,2271
"61",4276,4510
"62",4277,6300
"63",4282,2257
"64",4283,29588
"65",4288,12618
"66",4290,0
"67",4293,30426
"68",4308,10915
"69",4312,4030
"70",4317,13077
"71",4322,25871
"72",4325,2275
"73",4329,2282
"74",4330,163922
"75",4332,5311
"76",4335,274
"77",4357,8713
"78",4362,53366
"79",4370,63959
"80",4371,11362
"81",4374,30179
"82",4376,3681
"83",4377,4537
"84",4379,11269
"85",4381,3411
"86",4385,2297
"87",4412,72181
"88",4423,3393
"89",4425,1129
"90",4428,21687
"91",4432,6804
"92",4435,1131
"93",4436,11287
"94",4439,42085
"95",4443,0
"96",4446,6788
"97",4448,2266
"98",4450,1138
"99",4455,6768
"100",4458,30739
"101",4467,54796
"102",4472,74461
"103",4474,11305
"104",4481,19944
"105",4486,232
"106",4490,13582
"107",4496,13639
"108",4498,6312
"109",4504,7259
"110",4517,1863
"111",4519,0
"112",4527,23573
"113",4533,3483
"114",4542,14022
"115",4544,70966
"116",4545,4529
"117",4547,47931
"118",4556,5400
"119",4559,5671
"120",4570,1129
"121",4572,25213
"122",4583,6908
"123",4588,0
"124",4596,26404
"125",4602,1138
"126",4606,0
"127",4608,4614
"128",4609,14372
"129",4612,4519
"130",4618,10131
"131",4626,14738
"132",4632,19242
"133",4633,67274
"134",4638,14399
"135",4646,4540
"136",4649,101649
"137",4653,14076
"138",4654,7928
"139",4655,110281
"140",4658,5647
"141",4670,2318
"142",4678,9076
"143",4680,6278
"144",4681,5376
"145",4682,5130
"146",4684,7861
"147",4687,0
"148",4688,7117
"149",4690,5653
"150",4691,11344
"151",4694,90244
"152",4696,1138
"153",4701,1129
"154",4708,29447
"155",4710,3959
"156",4712,3393
"157",4725,21655
"158",4726,2988
"159",4730,2257
"160",4733,5001
"161",4737,3402
"162",4743,138
"163",4755,2275
"164",4757,94941
"165",4762,14691
"166",4763,4510
"167",4770,713
"168",4780,1121
"169",4788,0
"170",4792,6442
"171",4795,2508
"172",4803,4519
"173",4806,4528
"174",4809,6768
"175",4817,6774
"176",4821,17083
"177",4823,1129
"178",4824,7108
"179",4826,4546
"180",4835,5500
"181",4845,11912
"182",4862,13555
"183",4865,4546
"184",4866,7894
"185",4872,13532
"186",4873,10995
"187",4874,9789
"188",4881,3492
"189",4882,26913
"190",4884,4528
"191",4885,10326
"192",4887,16195
"193",4896,6669
"194",4900,5121
"195",4902,772
"196",4906,9846
"197",4909,3597
"198",4921,11508
"199",4933,1132
"200",4943,20366
"201",4944,28119
"202",4945,5646
"203",4956,4537
"204",4957,2258
"205",4958,4039
"206",4962,117482
"207",4968,15589
"208",4969,23447
"209",4971,10939
"210",4975,1138
"211",4986,6818
"212",4987,13436
"213",4989,98067
"214",4992,1129
"215",4995,11535
"216",4999,3284
"217",5004,4891
"218",5012,83147
"219",5013,3402
"220",5015,37360
"221",5026,2679
"222",5029,17569
"223",5032,11854
"224",5039,5397
"225",5043,5747
"226",5044,33093
"227",5049,31552
"228",5051,9586
"229",5056,5662
"230",5068,2641
"231",5071,28407
"232",5077,8774
"233",5078,89778
"234",5080,1841
"235",5081,27896
"236",5083,50885
"237",5085,2077
"238",5088,15676
"239",5101,2266
"240",5102,3574
"241",5110,0
"242",5112,9067
"243",5118,525
"244",5126,0
"245",5128,5647
"246",5129,22554
"247",5132,13376
"248",5133,6275
"249",5143,8194
"250",5152,10386
"251",5153,4519
"252",5154,10368
"253",5159,57279
"254",5160,4218
"255",5180,107076
"256",5182,9023
"257",5186,4599
"258",5192,14381
"259",5193,37245
"260",5202,3408
"261",5213,5147
"262",5225,1138
"263",5230,0
"264",5240,17995
"265",5250,9071
"266",5258,6759
"267",5259,15315
"268",5266,59989
"269",5267,19032
"270",5273,1129
"271",5274,32020
"272",5276,3384
"273",5280,4973
"274",5285,27986
"275",5290,20540
"276",5297,5644
"277",5300,4519
"278",5301,28689
"279",5313,7933
"280",5316,7927
"281",5324,2257
"282",5329,16562
"283",5340,3500
"284",5351,3402
"285",5360,4546
"286",5381,2258
"287",5383,1138
"288",5393,14945
"289",5394,43326
"290",5396,2088
"291",5399,6296
"292",5404,108772
"293",5413,7090
"294",5419,19041
"295",5421,6935
"296",5438,3384
"297",5440,3565
"298",5442,56928
"299",5445,1129
"300",5447,4059
"301",5465,2275
"302",5472,1129
"303",5473,14726
"304",5482,2266
"305",5490,157953
"306",5493,5618
"307",5520,74621
"308",5531,14543
"309",5535,6061
"310",5536,4519
"311",5537,1138
"312",5540,2275
"313",5547,18057
"314",5558,2266
"315",5572,28004
"316",5581,11242
"317",5594,2093
"318",5596,20956
"319",5602,62786
"320",5604,10355
"321",5606,10283
"322",5610,2275
"323",5613,14250
"324",5618,6768
"325",5621,2257
"326",5635,11929
"327",5636,13976
"328",5637,14659
"329",5651,2467
"330",5655,22834
"331",5674,2256
"332",5676,25624
"333",5683,10280
