"","node","closeness","n.closeness"
"1",3979,1.97164868056406e-06,4.4010015191162e-09
"2",3992,2.60764208900669e-06,5.82062966296137e-09
"3",4006,2.60539653672471e-06,5.81561726947479e-09
"4",4017,1.57452249913754e-06,3.51455914986059e-09
"5",4028,1.22235965143712e-06,2.72848136481501e-09
"6",4036,1.91739428264566e-06,4.27989795233407e-09
"7",4063,1.59774413224732e-06,3.56639315233777e-09
"8",4077,1.69129331566227e-06,3.77520829388901e-09
"9",4080,1.49095529773207e-06,3.32802521815195e-09
"10",4086,1.97563999378537e-06,4.40991070041378e-09
"11",4087,2.41586730347685e-06,5.39256094526084e-09
"12",4092,2.61136172834211e-06,5.82893242933506e-09
"13",4119,1.92974633199238e-06,4.30746949105441e-09
"14",4125,2.4384034296351e-06,5.44286479829264e-09
"15",4127,1.96252222435768e-06,4.3806299650841e-09
"16",4141,2.08137656572268e-06,4.64592983420242e-09
"17",4150,1.68936210751858e-06,3.7708975614254e-09
"18",4157,1.9422198182853e-06,4.33531209438682e-09
"19",4167,2.6220159359835e-06,5.85271414282031e-09
"20",4175,1.60768288205701e-06,3.58857786173439e-09
"21",4185,1.93639838930269e-06,4.32231783326493e-09
"22",4196,1.42783658651247e-06,3.18713523775106e-09
"23",4201,1.79434137704211e-06,4.00522628804042e-09
"24",4208,1.94863305776172e-06,4.34962736107527e-09
"25",4224,2.06906858940239e-06,4.6184566727732e-09
"26",4226,1.81219808121445e-06,4.04508500271083e-09
"27",4261,1.97249626293499e-06,4.40289344405133e-09
"28",4269,1.79942345039515e-06,4.01657020177489e-09
"29",4271,1.68642507049572e-06,3.76434167521366e-09
"30",4283,1.53582950792814e-06,3.42819086591103e-09
"31",4297,5.28334565065873e-07,1.17931822559347e-09
"32",4317,1.46499508519271e-06,3.27007831516229e-09
"33",4322,2.63026522222901e-06,5.87112772818976e-09
"34",4330,2.63807576121006e-06,5.88856196698674e-09
"35",4340,2.06337970196026e-06,4.60575826330415e-09
"36",4341,1.81236693526236e-06,4.04546190906776e-09
"37",4342,2.07393621452184e-06,4.62932190741482e-09
"38",4374,2.41554798715106e-06,5.39184818560504e-09
"39",4377,2.07908605525859e-06,4.64081708763079e-09
"40",4392,2.35093393032934e-06,5.24762038019942e-09
"41",4394,1.81459031441662e-06,4.05042480896568e-09
"42",4408,2.05456981762568e-06,4.58609334291446e-09
"43",4414,2.04939983994091e-06,4.57455321415381e-09
"44",4418,2.55524808419525e-06,5.70367875936439e-09
"45",4424,2.63021558311177e-06,5.87101692658876e-09
"46",4442,1.84862879326168e-06,4.12640355638767e-09
"47",4443,1.97952005950313e-06,4.41857156139091e-09
"48",4499,2.47750371792591e-06,5.53014222751318e-09
"49",4545,2.35439340295089e-06,5.25534241730109e-09
"50",4574,1.76673080942273e-06,3.94359555674716e-09
"51",4578,1.85781175237925e-06,4.1469012329894e-09
"52",4601,1.96417994215637e-06,4.38433022802761e-09
"53",4608,2.05311766409129e-06,4.58285192877521e-09
"54",4626,1.59024042878877e-06,3.54964381426065e-09
"55",4630,1.69797930276768e-06,3.79013237224929e-09
"56",4650,1.59438562013856e-06,3.55889647352357e-09
"57",4655,1.94226869403675e-06,4.33542119204631e-09
"58",4662,2.16151877062016e-06,4.82481868442e-09
"59",4684,2.22051430823645e-06,4.9565051523135e-09
"60",4710,2.67140907872835e-06,5.96296669359007e-09
"61",4738,1.98289567299762e-06,4.42610641294112e-09
"62",4744,2.07557052117479e-06,4.63296991333657e-09
"63",4775,2.63288161342489e-06,5.87696788710914e-09
"64",4812,2.05734876268637e-06,4.59229634528207e-09
"65",4856,1.59083090203585e-06,3.55096183490146e-09
"66",4877,1.37264445728279e-06,3.06393852072051e-09
"67",4881,2.79139382413598e-06,6.23078978601781e-09
"68",4885,2.07649424772202e-06,4.63503180295094e-09
"69",4918,2.00584570863046e-06,4.47733417105014e-09
"70",4936,2.27871274924564e-06,5.08641238670902e-09
"71",4940,1.47466643749542e-06,3.2916661551237e-09
"72",4952,1.61633482314884e-06,3.60789023024295e-09
"73",4956,2.05142053163807e-06,4.57906368669211e-09
"74",4963,1.73461122286701e-06,3.87190005104244e-09
"75",4969,2.59341282626934e-06,5.78886791577977e-09
"76",4975,2.66029355622635e-06,5.93815525943383e-09
"77",5024,1.24528563753742e-06,2.77965544093175e-09
"78",5038,2.04130197496167e-06,4.5564776226823e-09
"79",5155,2.5893508806962e-06,5.77980107298258e-09
"80",5186,2.63268409165656e-06,5.87652699030482e-09
"81",5226,1.12911340729592e-06,2.52034242699982e-09
"82",5240,6.48079273249198e-07,1.44660552064553e-09
"83",5297,1.75796971717477e-06,3.92403954726511e-09
"84",5309,2.52347346746338e-06,5.63275327558789e-09
"85",5320,2.06087840774698e-06,4.60017501729236e-09
"86",5351,2.5967681931329e-06,5.79635757395737e-09
"87",5413,2.6087123941115e-06,5.82301873685603e-09
"88",5441,2.07785263028283e-06,4.63806390688132e-09
"89",5443,2.05314725721519e-06,4.58291798485534e-09
"90",5451,1.98101092157481e-06,4.4218993785152e-09
"91",5566,9.05852277101992e-07,2.0219916899598e-09
"92",5575,1.96923640147644e-06,4.39561696758134e-09
"93",5619,1.77192113149861e-06,3.95518109709511e-09
