"","i","j","w"
"1",3978,6647,1.18469774723053
"2",3978,7150,2.25973081588745
"3",3981,4862,0.652907133102417
"4",3981,4889,1.15470051765442
"5",3981,4952,0.436435788869858
"6",3981,13936,1.90692520141602
"7",3986,6217,0.37085822224617
"8",3988,4036,1.95180010795593
"9",3990,4156,1.05900681018829
"10",3990,6626,0.620671212673187
"11",3990,17334,0.801068782806396
"12",3992,4632,0.429338783025742
"13",3994,3988,2.03419041633606
"14",3994,4995,2.98142385482788
"15",3994,6180,1.05409252643585
"16",3994,6635,4.67099380493164
"17",4000,4049,0.769800364971161
"18",4007,4045,5.47722578048706
"19",4007,5303,1.30465614795685
"20",4017,14036,1.63299310207367
"21",4022,6167,15.4919338226318
"22",4022,15590,1.26491105556488
"23",4027,4746,3.38061690330505
"24",4027,5934,3.03821802139282
"25",4027,7025,2.19089031219482
"26",4027,12088,1.75411605834961
"27",4028,4960,4.2966890335083
"28",4028,8554,0.859337866306305
"29",4029,4310,1.3187609910965
"30",4029,6962,2.65684461593628
"31",4036,3994,1.70046055316925
"32",4036,4094,0.549788117408752
"33",4036,5751,1.52646553516388
"34",4036,9679,5.85540056228638
"35",4037,4589,1.15792143344879
"36",4037,5476,0.837707817554474
"37",4038,7651,15.4919338226318
"38",4038,12587,3.16227769851685
"39",4038,12966,4.67099380493164
"40",4043,4976,1.63299310207367
"41",4045,4068,2.87677979469299
"42",4045,6002,2.33549690246582
"43",4049,6361,0.856705844402313
"44",4049,9889,1.80090069770813
"45",4061,4036,1.98353886604309
"46",4067,4109,0.541001796722412
"47",4067,4685,0.802141904830933
"48",4067,6002,0.627764821052551
"49",4068,5336,4.4721360206604
"50",4068,8903,3.46410155296326
"51",4072,5324,8.9442720413208
"52",4073,13437,2.41943359375
"53",4075,5336,3.16227769851685
"54",4075,5393,0.446284800767899
"55",4075,7022,1.54150497913361
"56",4075,9432,1.89264094829559
"57",4075,10175,1.3856406211853
"58",4077,3978,2.73861289024353
"59",4077,4068,6.92820310592651
"60",4077,4109,2.16930460929871
"61",4077,4157,1.60643863677979
"62",4077,4412,3.23029136657715
"63",4077,5360,3.09838676452637
"64",4077,5419,2.54685807228088
"65",4077,6167,2.51312351226807
"66",4077,6590,0.875655829906464
"67",4077,10968,4.4721360206604
"68",4077,11942,2.41943359375
"69",4077,16876,2.54685807228088
"70",4079,4468,0.874260365962982
"71",4079,5609,1
"72",4079,6851,0.482476621866226
"73",4079,14166,0.433690875768661
"74",4086,4109,1.60643863677979
