"","node","betweenness"
"1",3981,3408
"2",3988,9906
"3",3992,0
"4",4014,0
"5",4026,0
"6",4028,5658
"7",4029,4279
"8",4038,3806
"9",4043,2298
"10",4047,11210
"11",4049,16050
"12",4073,84038
"13",4077,44859
"14",4085,1149
"15",4086,2298
"16",4096,67985
"17",4100,2679
"18",4101,5760
"19",4108,0
"20",4109,126208
"21",4113,6308
"22",4114,0
"23",4125,0
"24",4127,6884
"25",4129,0
"26",4134,3445
"27",4136,0
"28",4149,31669
"29",4171,30571
"30",4175,4822
"31",4176,22564
"32",4178,3445
"33",4182,8982
"34",4190,1150
"35",4204,11031
"36",4209,12754
"37",4213,4612
"38",4215,17808
"39",4216,76568
"40",4221,9187
"41",4224,4606
"42",4229,6890
"43",4233,1149
"44",4244,2297
"45",4259,16038
"46",4265,6881
"47",4273,10008
"48",4277,10928
"49",4285,6868
"50",4288,100124
"51",4289,14976
"52",4298,5390
"53",4308,2989
"54",4312,4594
"55",4316,5803
"56",4317,9165
"57",4321,13524
"58",4325,87150
"59",4326,7722
"60",4329,6112
"61",4330,6318
"62",4337,2298
"63",4343,1150
"64",4351,4592
"65",4356,2065
"66",4357,1149
"67",4364,4699
"68",4373,8031
"69",4374,202
"70",4375,0
"71",4377,0
"72",4380,3445
"73",4388,3237
"74",4390,3446
"75",4391,18093
"76",4392,5746
"77",4393,5640
"78",4402,3099
"79",4408,41259
"80",4412,98075
"81",4425,5563
"82",4426,13920
"83",4432,1149
"84",4433,7348
"85",4439,30098
"86",4444,1149
"87",4454,91813
"88",4460,9208
"89",4464,23197
"90",4466,14723
"91",4467,6210
"92",4472,2299
"93",4474,3444
"94",4482,4621
"95",4485,1149
"96",4486,1149
"97",4487,9544
"98",4499,2299
"99",4503,3447
"100",4521,0
"101",4523,5736
"102",4533,2299
"103",4542,3642
"104",4546,6834
"105",4550,1149
"106",4560,362131
"107",4562,0
"108",4563,76794
"109",4564,1149
"110",4567,16428
"111",4570,21938
"112",4590,1150
"113",4595,3444
"114",4597,30
"115",4600,2297
"116",4608,8027
"117",4616,5616
"118",4630,0
"119",4632,55453
"120",4634,15870
"121",4635,22709
"122",4645,5026
"123",4646,8658
"124",4652,7783
"125",4653,57755
"126",4658,4622
"127",4659,2297
"128",4662,0
"129",4665,5740
"130",4669,102742
"131",4670,6856
"132",4671,3329
"133",4674,2297
"134",4678,2297
"135",4682,7264
"136",4685,0
"137",4690,9200
"138",4694,162957
"139",4695,3021
"140",4705,1149
"141",4711,4044
"142",4717,24
