"","node","closeness","n.closeness"
"1",3981,1.62954755023956e-05,2.24455585432447e-08
"2",3999,1.73282844828387e-05,2.38681604446813e-08
"3",4008,1.50641849418586e-05,2.07495660356179e-08
"4",4014,8.93199774602704e-06,1.23030271983844e-08
"5",4017,5.33047043211859e-06,7.34224577426803e-09
"6",4027,1.62247903831952e-05,2.23481961201036e-08
"7",4036,1.7253675943808e-05,2.37653938619945e-08
"8",4038,1.65963323849901e-05,2.28599619627963e-08
"9",4041,8.89293137183083e-06,1.22492167656072e-08
"10",4042,1.48617639769289e-05,2.04707492795164e-08
"11",4045,1.64223429812457e-05,2.26203071367021e-08
"12",4059,1.57422731928012e-05,2.16835718909108e-08
"13",4063,1.50387963201624e-05,2.07145954823174e-08
"14",4064,1.61391443069257e-05,2.22302263180794e-08
"15",4066,1.60970025316888e-05,2.21721797957146e-08
"16",4075,1.05170162456692e-05,1.44862482722716e-08
"17",4077,1.79080841492232e-05,2.46667825746877e-08
"18",4086,1.66423343565778e-05,2.29233255600246e-08
"19",4090,1.78217511449511e-05,2.45478665908418e-08
"20",4096,1.58175294628192e-06,2.17872306650403e-09
"21",4105,1.10330609386165e-05,1.5197053634458e-08
"22",4122,1.37458175236992e-05,1.89336329527537e-08
"23",4123,1.38294795988126e-05,1.90488699708163e-08
"24",4125,1.45618378107051e-05,2.00576278384367e-08
"25",4130,1.40795491381374e-05,1.93933183720901e-08
"26",4136,1.6937407139038e-05,2.33297618995013e-08
"27",4141,1.14340904886277e-05,1.57494359347489e-08
"28",4147,9.55153864121331e-06,1.3156389312966e-08
"29",4149,1.6501281502063e-05,2.27290378816295e-08
"30",4157,1.67961926260973e-05,2.31352515510982e-08
"31",4163,1.53835226986253e-05,2.1189425204718e-08
"32",4167,1.66395258635597e-05,2.29194571123412e-08
"33",4170,1.64469966975023e-05,2.26542654235569e-08
"34",4182,9.51800299806849e-06,1.31101969670365e-08
"35",4185,1.73899333901958e-05,2.39530762950355e-08
"36",4186,1.57989008828288e-05,2.17615714639514e-08
"37",4188,1.44854538492846e-05,1.99524157703644e-08
"38",4194,1.60281119676133e-05,2.20772892115886e-08
"39",4201,1.40000401916533e-05,1.92838019168778e-08
"40",4223,1.24201112622179e-06,1.71075912702726e-09
"41",4227,7.57522586890658e-06,1.04341954117171e-08
"42",4229,1.66012844939037e-05,2.28667830494541e-08
"43",4234,4.6699758810906e-06,6.43247366541404e-09
"44",4241,1.70521819047424e-05,2.34878538632815e-08
"45",4242,1.76230769407216e-05,2.4274210662151e-08
"46",4261,1.67554884054629e-05,2.30791851314917e-08
"47",4263,1.78238272769923e-05,2.45507262768489e-08
"48",4264,1.47720101605529e-05,2.03471214332684e-08
"49",4266,1.72357475586127e-05,2.37406991165465e-08
"50",4281,1.75811795829788e-05,2.42165008030011e-08
"51",4283,1.79977394267886e-05,2.47902746925463e-08
"52",4285,1.05179893985638e-06,1.4487588703256e-09
"53",4293,1.7818423183815e-05,2.45432826223346e-08
"54",4300,1.8652794023445e-06,2.56925537513017e-09
"55",4307,2.85960408463348e-06,3.93884860142352e-09
"56",4308,1.70824137365809e-05,2.35294955049324e-08
"57",4310,1.60176535693953e-05,2.20628837044013e-08
"58",4317,1.50355857698891e-05,2.07101732367619e-08
