"","i","j","w"
"1",3981,4080,0.278423021677447
"2",3981,4325,0.480384460614621
"3",3981,13936,0.953462589197919
"4",3999,4370,2.44948974278318
"5",4027,4633,0.698430295734657
"6",4027,4685,1.30930734130685
"7",4027,4832,7.74596669241483
"8",4027,5016,0.90659682770237
"9",4027,6039,1.22474487139159
"10",4027,7975,2.14834462202878
"11",4027,8237,0.403238919252594
"12",4027,14941,0.803219328701694
"13",4027,15366,1.09544511501033
"14",4027,15788,1.16774841596981
"15",4028,5024,0.288474874122513
"16",4028,5994,1.77704663304034
"17",4058,7598,0.2450715405754
"18",4063,5566,0.279145261467932
"19",4066,6597,0.816496580519478
"20",4067,4685,0.401070951329063
"21",4075,7022,0.770752492697883
"22",4077,6000,1.93649167310371
"23",4077,17174,1.93649167310371
"24",4079,4468,0.437130188845383
"25",4079,5609,0.5
"26",4079,6851,0.24123831785187
"27",4080,4208,0.100200598800606
"28",4080,4467,2.07019667785455
"29",4080,5179,0.807572853060329
"30",4080,5379,1.43838990437225
"31",4080,5546,1.29099444847761
"32",4080,5655,1.29099444847761
"33",4080,6394,0.0349941280788649
"34",4080,7561,0.0656555709745944
"35",4080,9770,0.24935148886662
"36",4080,13581,1.27342907968995
"37",4080,15379,0.075607294621617
"38",4080,15941,0.171205102143599
"39",4080,17976,0.239846546775225
"40",4086,5465,0.236911842253611
"41",4086,6782,0.716114873466541
"42",4086,17340,0.124821344328604
"43",4096,6727,1.77704663304034
"44",4096,7304,0.447213595499958
"45",4113,4412,0.338384124923141
"46",4114,4934,1.29099444847761
"47",4122,4945,1.36930639376292
"48",4122,8559,0.674199862058722
"49",4125,4201,0.284363381960477
"50",4125,4940,0.285132974241844
"51",4125,6394,1.4142135623731
"52",4125,16537,4.47213595499958
"53",4127,4201,1.16774841596981
"54",4127,4999,0.40768245731206
"55",4127,5031,1.24034734570603
"56",4127,5178,0.561951486340236
"57",4127,7975,0.465410032122214
"58",4130,7798,2.73861278752583
"59",4134,10026,1.87867287306758
"60",4149,6643,0.588914942075679
"61",4151,15200,0.830454798288263
"62",4157,13112,5.47722557505166
"63",4167,4945,1.82574185825927
"64",4167,5159,0.490880693244295
"65",4167,5438,0.446470097542937
"66",4172,4658,0.882734829379695
"67",4174,8984,0.476731294336757
"68",4182,7975,0.716114873466541
"69",4182,15666,0.821070827030166
"70",4185,4113,0.298363488047717
"71",4185,4882,0.200872340057062
"72",4185,6463,0.337419608203199
"73",4196,5240,0.126744849993994
"74",4196,10662,1.18124884634864
"75",4201,4283,0.821070827030166
"76",4201,4945,3.87298334620742
"77",4201,5518,0.57575316933561
"78",4201,7243,0.877058019175471
"79",4201,13011,0.275240939905385
"80",4208,5930,0.048038442938963
"81",4217,4906,2.92770021877241
"82",4234,7375,0.293821263696146
"83",4266,10437,1.07417231066529
"84",4269,15946,0.0994053419087727
"85",4274,17108,2.73861278752583
"86",4277,4678,1.93649167310371
"87",4277,4717,0.33426313437171
"88",4277,5574,0.0252207256041534
"89",4281,5089,0.286103806336092
"90",4283,4201,0.424476359765771
"91",4283,4945,1.05409255333676
"92",4283,5031,0.474045463009615
"93",4283,5058,1.0639903528698
"94",4283,5234,0.594088525389946
"95",4283,6597,1.05409255333676
"96",4283,6629,1.77704663304034
"97",4283,7332,0.344350221431612
"98",4283,8878,0.710071602023345
"99",4283,9452,1
"100",4283,10155,0.798935461723912
"101",4283,10318,0.553283334287235
"102",4283,13764,0.529503381481176
"103",4293,4027,2.44948974278318
"104",4293,5240,0.698430295734657
"105",4293,6111,1.36930639376292
"106",4293,9443,2.33549683236779
"107",4293,10424,1.69030850941478
"108",4301,9081,5.47722557505166
"109",4304,5089,0.557566882983557
"110",4304,5892,2.44948974278318
"111",4304,6465,1.61514570612066
"112",4304,6914,0.437827922819
"113",4304,8866,0.888523316520169
"114",4304,16471,7.74596669241483
"115",4308,15371,0.460449925616239
"116",4316,6470,0.391230397592007
"117",4320,6643,0.3676073108631
"118",4320,7787,0.177285272936023
"119",4323,4396,0.543660281793695
"120",4323,8009,0.741929049842369
"121",4325,11995,0.770752492697883
"122",4337,6685,1.77704663304034
"123",4347,7397,0.0239065053907927
"124",4356,6970,1.15470053823491
"125",4370,4817,1.19522860909535
"126",4374,15079,0.534522483156696
"127",4381,12522,0.144112563643841
"128",4388,4402,1.82574185825927
"129",4396,4086,1.10656666993001
"130",4402,9108,1.4142135623731
"131",4412,8984,0.811997942731384
"132",4418,4127,1.73205080756888
"133",4418,4945,0.894427190999916
"134",4418,4999,0.373543682853826
"135",4418,5178,0.561951486340236
"136",4418,6172,5.47722557505166
"137",4418,7151,0.755928945734981
"138",4418,13764,3.87298334620742
"139",4436,5132,0.206871953149768
"140",4438,4832,0.0725285392104377
"141",4460,7641,0.36155076268762
"142",4463,4277,0.311588475396636
"143",4467,5438,0.983738753429995
"144",4467,10540,0.533254338003921
"145",4467,18196,0.821070827030166
"146",4468,15415,0.373543682853826
"147",4474,4999,0.329989274068113
"148",4485,4125,0.946320446783224
"149",4533,4058,0.31570203356963
"150",4533,6454,0.0943578189658918
"151",4533,15358,0.855398922725532
"152",4536,4737,1.69030850941478
"153",4536,4887,1.69030850941478
"154",4536,5418,0.782460795823024
"155",4542,4201,0.860662965393539
"156",4563,8835,0.140859039468541
"157",4563,9446,0.210506878747465
"158",4569,4418,3.46410161513775
"159",4580,8473,0.807572853060329
"160",4606,4114,0.365148371213675
"161",4613,5490,1.09544511501033
"162",4615,5438,5.47722557505166
"163",4630,4945,1.08465228898482
"164",4632,5885,0.446470097542937
"165",4633,4066,1.51910905039763
"166",4633,4283,1.04446593529899
"167",4633,4895,0.728679251111214
"168",4633,4940,0.321633759111198
"169",4633,5132,0.426401431751818
"170",4633,5389,0.253455771289588
"171",4633,5710,0.510753918242435
"172",4633,5780,0.294032874012414
"173",4633,5845,0.850230301741828
"174",4633,6158,0.186177455670658
"175",4633,6850,0.0929947579167772
"176",4633,6990,0.481310950426021
"177",4633,7378,0.0920834730014024
"178",4633,7975,3.16227766016838
"179",4633,8340,2.14834462202878
"180",4633,10054,0.722315118213651
"181",4633,10669,0.7352146217262
"182",4633,11104,1.36930639376292
"183",4633,11858,2.07019667785455
"184",4635,5058,0.531995175730006
"185",4650,4080,0.745355992127252
"186",4650,4856,1.43838990437225
"187",4658,7203,0.461265603530114
"188",4670,8268,0.486984753354764
"189",4670,16907,0.372247402945944
"190",4678,5712,1.51910905039763
"191",4678,7719,0.443532762036808
"192",4679,4125,1.25656172470754
"193",4679,12402,0.704178789797023
"194",4684,13264,0.453298413851185
"195",4685,4323,1.09544511501033
"196",4685,4474,0.550481882535656
"197",4685,4774,0.278423021677447
"198",4685,5629,0.43643577992644
"199",4685,14283,0.946320446783224
"200",4710,4613,2.07019667785455
"201",4710,6000,1.18124884634864
"202",4710,8143,0.514117865863461
"203",4717,7917,0.275414868879659
"204",4733,4356,0.336146322306224
"205",4737,5566,0.64326752055424
"206",4737,5934,1.09544511501033
"207",4746,8488,0.296608393340445
"208",4762,4293,2.92770021877241
"209",4762,5438,1.58113883008419
"210",4774,9005,0.10157825554714
"211",4775,6292,1.49071198492532
"212",4817,15683,1.65144564760697
"213",4832,5179,0.321911389981777
"214",4832,5796,0.0923055036278986
"215",4832,6056,0.64326752055424
"216",4832,8442,0.206650976286104
"217",4832,13102,0.22342069062645
"218",4832,15263,0.140673089110889
"219",4832,15379,0.0686991848568817
"220",4832,17402,1.16774841596981
"221",4841,4201,0.578960732692641
"222",4848,6597,1.58113883008419
"223",4856,4952,0.203419050238664
"224",4856,6698,2.07019667785455
"225",4856,12610,0.324442840882643
"226",4871,4283,0.419467613767738
"227",4871,5058,1.04446593529899
"228",4871,7343,0.24857990063559
"229",4874,6470,0.138697274666808
"230",4877,4080,0.154702899132498
"231",4882,6372,0.522232967170783
"232",4887,12994,2
"233",4895,4733,0.439233474361871
"234",4906,8605,1.03509833880651
"235",4906,10530,1.3284223281773
"236",4934,14925,0.475830951074013
"237",4936,4972,1.12986536543077
"238",4940,6402,1.30930734130685
"239",4940,7723,0.475830951074013
"240",4940,13861,0.394259323288619
"241",4945,4027,1
"242",4945,4122,0.975900072753353
"243",4945,4283,0.770752492697883
"244",4945,4304,1.93649167310371
"245",4945,4542,1.24034734570603
"246",4945,4569,0.850230301741828
"247",4945,5178,0.595843591053894
"248",4945,5318,1.30930734130685
"249",4945,5441,0.871489340152821
"250",4945,5833,0.4054424262457
"251",4945,6446,0.763232776418833
"252",4945,7827,0.692820323027551
"253",4945,11286,0.372247402945944
"254",4945,12394,1.24034734570603
"255",4952,13770,0.939336436533791
"256",4952,14182,0.790569415042095
"257",4955,4945,0.410535412601641
"258",4955,6039,2.14834462202878
"259",4956,3981,0.428352936257008
"260",4956,4533,0.360765634449846
"261",4972,4536,0.728679251111214
"262",4975,4633,0.199336647408348
"263",4975,6019,0.0638117308964425
"264",4999,4182,2.33549683236779
"265",4999,5210,2.23606797749979
"266",4999,6214,1.29099444847761
"267",4999,7317,0.304290308751363
"268",4999,11104,0.334574801800733
"269",5007,8278,1.03509833880651
"270",5009,4157,1.04446593529899
"271",5016,4337,1.3912166869327
"272",5024,4196,0.1136045817738
"273",5024,10371,0.226649206925592
"274",5029,15056,4.47213595499958
"275",5031,4127,0.669149605095901
"276",5031,5318,1.73205080756888
"277",5031,6629,1.24034734570603
"278",5053,8713,0.566441183177918
"279",5058,4027,0.252645575856772
"280",5058,4635,0.659380472868283
"281",5058,6013,1.18124884634864
"282",5058,7343,1.3284223281773
"283",5064,7061,1.58113883008419
"284",5089,5053,7.74596669241483
"285",5089,14698,1.22474487139159
"286",5132,4027,0.647750275183268
"287",5132,4633,0.455645098733653
"288",5132,4685,0.414632089930338
"289",5132,4841,1.93649167310371
