"","node","betweenness"
"1",3981,245
"2",4011,1164
"3",4017,1183
"4",4022,0
"5",4027,2634
"6",4028,950
"7",4067,1403
"8",4077,3260
"9",4127,1405
"10",4182,671
"11",4185,2097
"12",4201,1516
"13",4262,471
"14",4283,1204
"15",4297,0
"16",4329,4188
"17",4330,3619
"18",4423,695
"19",4540,485
"20",4541,0
"21",4549,1630
"22",4614,3084
"23",4630,482
"24",4752,122
"25",4795,0
"26",4813,244
"27",4863,611
"28",5056,2210
"29",5112,365
"30",5137,746
"31",5209,4016
"32",5212,364
"33",5267,8947
"34",5270,123
"35",5309,741
"36",5328,0
"37",5364,423
"38",5445,5540
"39",5540,0
"40",5564,1631
"41",5570,461
"42",5635,485
"43",6068,952
"44",6078,956
"45",6189,483
"46",6230,531
"47",6246,366
"48",6535,1438
"49",6706,1165
"50",6742,660
"51",6748,610
"52",6787,747
"53",6817,1408
"54",7046,243
"55",7058,0
"56",7095,669
"57",7151,2704
"58",7191,0
"59",7235,743
"60",7335,951
"61",7360,31
"62",7527,949
"63",7641,487
"64",7684,1782
"65",7790,1780
"66",7888,953
"67",7907,836
"68",7977,0
"69",8172,406
"70",8253,0
"71",8298,484
"72",8438,1166
"73",8462,694
"74",8592,405
"75",8827,0
"76",8869,1606
"77",8882,2847
"78",9218,978
"79",9314,745
"80",9376,744
"81",9386,2736
"82",9777,0
"83",9893,244
"84",9971,0
"85",10021,243
"86",10156,954
"87",10231,1060
"88",10278,614
"89",10600,488
"90",10773,407
"91",10841,0
"92",11052,0
"93",11086,0
"94",11180,955
"95",11477,0
"96",11550,363
"97",11707,0
"98",11810,486
"99",11922,612
"100",11998,668
"101",12597,1781
"102",13228,1036
"103",13479,530
"104",13579,1475
"105",13719,0
"106",13747,0
"107",14137,404
"108",14358,2655
"109",14561,672
"110",14618,1411
"111",14729,0
"112",14733,742
"113",14746,486
"114",14848,0
"115",14887,693
"116",16114,1783
"117",16202,1409
"118",16452,670
"119",16646,0
"120",17070,605
"121",17189,1756
"122",17374,1410
"123",17602,245
"124",17865,948
"125",17921,613
