"","node","closeness","n.closeness"
"1",3981,1.33308064582829e-05,8.07927664138358e-08
"2",3983,1.26590797817566e-05,7.672169564701e-08
"3",4022,1.41901676358021e-05,8.60010159745581e-08
"4",4036,9.87234864230443e-06,5.98324160139662e-08
"5",4047,1.40266795079732e-05,8.50101788362014e-08
"6",4067,1.40186301449586e-05,8.49613948179312e-08
"7",4071,1.43658370357522e-05,8.70656790045588e-08
"8",4077,1.43273726396551e-05,8.68325614524553e-08
"9",4079,1.42423112497432e-05,8.63170378772313e-08
"10",4125,1.3631628144144e-05,8.26159281463274e-08
"11",4127,1.39865000279353e-05,8.47666668359714e-08
"12",4175,4.9673587021917e-06,3.01052042557073e-08
"13",4260,1.40197420422197e-05,8.49681335892102e-08
"14",4300,6.4489129692748e-06,3.90843210259079e-08
"15",4323,1.41617970196917e-05,8.58290728466166e-08
"16",4330,1.42511746797522e-05,8.63707556348616e-08
"17",4412,1.66219989583399e-06,1.00739387626303e-08
"18",4448,1.05941587263199e-05,6.42070225837572e-08
"19",4474,1.34757578038368e-05,8.16712594171926e-08
"20",4546,1.40656063414211e-05,8.52460990389155e-08
"21",4550,1.4197877036615e-05,8.60477396158483e-08
"22",4568,1.27640887437212e-05,7.73581135983103e-08
"23",4676,1.43123309436501e-05,8.67413996584853e-08
"24",4699,1.06428734418532e-05,6.45022632839586e-08
"25",4717,1.33718125745027e-05,8.10412883303192e-08
"26",4794,1.44930861556808e-05,8.78368857920046e-08
"27",4826,1.39916499310283e-05,8.47978783698686e-08
"28",4913,1.37413124029925e-05,8.32806812302578e-08
"29",4947,1.42867908947121e-05,8.65866114831036e-08
"30",4955,1.00385353075125e-05,6.08396079243181e-08
"31",4957,5.21406398831276e-06,3.16003878079561e-08
"32",5009,1.41860218479445e-05,8.59758899875424e-08
"33",5077,6.15871173745949e-06,3.73255256815727e-08
"34",5143,1.11031940942611e-05,6.72920854197642e-08
"35",5236,1.4140196235512e-05,8.5698159003103e-08
"36",5247,1.39751813381283e-05,8.46980687159289e-08
"37",5266,1.29586803888013e-05,7.85374569018259e-08
"38",5267,1.40889603401098e-05,8.5387638424908e-08
"39",5270,1.40395601641795e-05,8.50882434192694e-08
"40",5317,1.39810061692046e-05,8.4733370722452e-08
"41",5327,1.40594720954392e-05,8.52089217905408e-08
"42",5373,1.3992595738455e-05,8.48036105360907e-08
"43",5450,1.42777146692808e-05,8.65316040562471e-08
"44",5469,1.33079485403825e-05,8.06542335780758e-08
"45",5484,1.42690899845039e-05,8.64793332394174e-08
"46",5486,1.4135266711226e-05,8.56682830983392e-08
