"","i","j","w"
"1",4045,6730,2.39045715332031
"2",4057,12492,0.353922247886658
"3",4063,11718,1.63299310207367
"4",4075,8420,1.36930644512177
"5",4083,12461,0.381964206695557
"6",4087,12492,0.338626563549042
"7",4090,5523,0.751469135284424
"8",4090,16853,1.45095252990723
"9",4095,12560,6.32455539703369
"10",4113,4393,2.25973081588745
"11",4113,5032,8.9442720413208
"12",4157,4542,1.33333337306976
"13",4157,8350,4.4721360206604
"14",4167,4583,0.569494783878326
"15",4181,12473,15.4919338226318
"16",4339,8909,0.916057229042053
"17",4393,15184,10.9544515609741
"18",4542,12490,1.2324720621109
"19",4569,6858,3.55409336090088
"20",4583,14672,1.72132587432861
"21",4633,4095,1.46385014057159
"22",4633,4339,0.670401513576508
"23",4633,8616,3.75734567642212
"24",4633,14837,0.975900053977966
"25",4638,5483,1.06148982048035
"26",4638,7768,2.28416085243225
"27",4638,10458,0.93419873714447
"28",4692,12679,0.573382198810577
"29",4726,17347,2.39045715332031
"30",4754,10737,2.82842707633972
"31",4804,4633,1.96747756004333
"32",4969,16215,5.85540056228638
"33",4969,17656,0.0285591315478086
"34",5026,5483,3.16227769851685
"35",5032,13667,6.92820310592651
"36",5159,4804,15.4919338226318
"37",5320,7652,1.26491105556488
"38",5334,13475,2.92770028114319
"39",5396,4167,0.56269234418869
"40",5443,12619,4.67099380493164
"41",5483,4638,1.73205077648163
"42",5483,5026,1.01709520816803
"43",5483,7682,0.746220171451569
"44",5483,7993,0.611894607543945
"45",5483,9503,0.709326922893524
"46",5483,14937,5.16397762298584
"47",5523,17323,1.89264094829559
"48",5777,15048,2.36249780654907
"49",5839,6685,0.785472214221954
"50",6066,4181,2.2360680103302
"51",6354,12327,5.16397762298584
"52",6685,12264,2.69679951667786
"53",6686,8350,0.397229045629501
"54",6694,7733,0.794719398021698
"55",6730,9267,15.4919338226318
"56",6858,17448,0.312601774930954
"57",7216,9548,1.90692520141602
"58",7380,7428,3.09838676452637
"59",7428,9542,1.70046055316925
"60",7652,11863,0.794719398021698
"61",7682,4633,1.07159948348999
"62",7733,12398,0.443896770477295
"63",7768,4157,1.96747756004333
"64",7840,6694,0.273136734962463
"65",7993,4057,0.374853610992432
"66",8152,11607,5.47722578048706
"67",8168,9649,3.16227769851685
"68",8350,4969,3.46410155296326
"69",8350,13285,0.458831459283829
"70",8420,9320,0.174974709749222
"71",8616,4113,1.21342182159424
"72",8835,4065,4.89897966384888
"73",8909,4633,0.430165559053421
"74",8909,5483,0.420548111200333
"75",9267,6354,1.69030845165253
"76",9267,12240,2.73861289024353
"77",9320,8909,0.74535596370697
"78",9503,12328,0.692820310592651
"79",9542,6066,5.47722578048706
"80",9542,12868,2.19089031219482
"81",9548,15085,1.62399590015411
"82",9549,4045,8.9442720413208
"83",9549,5443,5.47722578048706
"84",9649,9542,3.55409336090088
"85",10378,4638,0.840168058872223
"86",10458,4633,1.68033611774445
"87",10637,4113,4.14039325714111
"88",10737,15157,0.749707221984863
"89",11183,17194,1.51185786724091
"90",11607,13613,2.82842707633972
"91",11718,4569,2.87677979469299
"92",11863,11183,0.308913320302963
"93",12011,5396,0.691438853740692
"94",12240,17137,8.9442720413208
"95",12264,17647,2.39045715332031
"96",12327,7216,1.17108011245728
"97",12328,10378,0.426563024520874
"98",12398,6686,0.206669360399246
"99",12409,4063,1.209716796875
"100",12420,13624,0.339275568723679
"101",12461,5483,0.324016779661179
"102",12473,12491,4
"103",12490,5483,0.550481855869293
"104",12491,13096,8.9442720413208
"105",12492,5320,0.889988303184509
"106",12492,12420,0.393749624490738
"107",12560,5839,3.87298345565796
"108",12619,5159,1.78885436058044
"109",12679,4726,0.975900053977966
"110",12868,9267,1.58113884925842
"111",13096,14819,2.54685807228088
"112",13285,4083,0.625713288784027
"113",13475,4157,15.4919338226318
"114",13613,9549,4.89897966384888
"115",13624,12409,0.305530488491058
"116",13667,8168,2.69679951667786
"117",14033,14648,0.841406345367432
"118",14586,5777,7.74596691131592
"119",14599,4087,0.671030104160309
"120",14648,4075,0.422891885042191
"121",14672,4692,0.475830942392349
"122",14819,5334,2.54685807228088
"123",14837,4638,3.75734567642212
"124",14937,5483,2.6186146736145
"125",15048,9549,1.39121663570404
"126",15085,14586,2.65684461593628
"127",15091,12011,3.16227769851685
"128",15157,14033,0.748830854892731
"129",15184,8835,8.9442720413208
"130",15915,10637,3.55409336090088
"131",16215,8152,7.74596691131592
"132",16853,4090,3.87298345565796
"133",17055,15091,0.684653222560883
"134",17137,17193,4.89897966384888
"135",17193,15915,5.16397762298584
"136",17194,17055,0.900450348854065
"137",17323,4754,2.30940103530884
"138",17347,4090,0.445730298757553
"139",17448,14599,0.465200155973434
"140",17647,7380,0.811997950077057
"141",17656,7840,0.193151831626892
