Student,Response,Analysis,Explanation,Critique,Advance Claim
A 1,"The flooding in Charleston is not caused by increased precipitation, but by all the land with impermeable surfaces, or man-made things like buildings or roads that will not let in water. Precipitation has increased over the years, but so has all the houses, roads, and so on because of the rising population. So along with the increased precipitation, the water does not get absorbed by the soil fast enough, which is how flooding starts. The meteorologistês argument was inaccurate because he didnêt include increased building. After looking at a graph of land changes in the area, the only thing that went up dramatically was the amount of impermeable surfaces in the area. Plus, the natural lands have gone down quickly between 2003 and 2013. This is supportive because water cannot be absorbed quickly if there is less natural land to absorb it. The only thing that could cause this is increased population, which has happened in Charleston for a while now. This is why the meteorologistês statement was inaccurate and why this statement is more accurate about the increased flooding in Charleston.   ",4,4,3,4
A 2,"The Meteorologist would be incorrect, because the flooding is due to not having very many places for the water to go. There are too many things blocking the rainwater from going back in to the ground. The precipitation he said has increased had actually not increased but decreased over the years and then slowly started to increase again over the last year.  If there were less buildings or more drainage places Charleston wouldnêt be such a flooded area.  Charleston has always had a flooding problem, so just because the precipitation had decreased in 1983 and again in 1993 and started to increase again in 2005 doesnêt mean that there had never been a flooding problem, but maybe the meteorologist just never caught the flood.  ",2,3,3,1
A 3,The cause of Charlestons flooding problems are due to increases in developed land areas with impermeable surfaces.  The local meteorologist is wrong that it is increased precipitation. It is the increase in populated areas on impermeable surfaces. It is not the increase in precipitation because the precipitation is the same as it was in 2013 as it as in 1963. But it has increased since 2003. The amount of rain didnêt cause flooding in 1963 because the amount of developed permeable surfaces was greater than the developed impermeable surfaces. Since the towns growth the developed impermeable surfaces has surpassed the developed permeable surfaces. Causing flooding because the land cannot cope with the amount of rain and not having a place to put it because all of the permeable land is less than the impermeable surfaces.,4,4,4,0
A 4,"I think that Charlestonês flooding problems are due to the increase in developed land areas  with impermeable surfaces because, different materials withstand water in different ways such as dirt and concrete, dirt is going to allow water to run through it where concreate is going to withhold water. With developed land areas needing drainage this means if the drainage was not large enough for the rain fall that had picked back up in 2005 that means there would be flooding.  Another problem would be where all the drainage would go; if there is no place for the drainage to go that could also cause flooding to. Different materials withhold and take in water  so if Charleston mainly has concreate as a foundation it is going to not soak it up that means the more it rains the more water is going to have to drain so no matter how much water you get it is still going to flood. Increased precipitation isnêt the problem because if you look at the chart the amount of precipitation was just as high in 1973 as it was in 2005 so they would have had the flooding problem long before then. If the drainage was not made large enough in 1993 when the precipitation rates were down that could also be a problem. No one can control Mother Nature it is going to do what it wants to do. So if the rain count went up that means the drainage would be backed up because it was not made for the amount of rain that the city is with taking. The biggest problem of all is where is all of the precipitation going to go? When water comes down it has to go somewhere such as here where we live most of the water runs through streams which lead to lakes and from the lakes it leads to rivers and from there the ocean. So if the city of Charleston does not have those things that mean the water is going to run all over that could be one of their biggest problems. so in this essay I wright why I think the meteorologist claim is incorrect because yes the amount of precipitation does matter but you have to think beyond the stuff falling out of the sky you have to think about drainage, types of materials in the area and where the water has to go once it has fallen.",4,4,4,3
A 5,I think that Charleston had a good system to begin with but after all the rain and floods their system wouldnêt work right after having a big amount of water. Their system didnêt get use to that amount of water then it change after the fact of get the big amount of water and their system didnêt know how to go back to being normal. You can tell in graph 2 that the land changed pretty different because of all the water and wash out. ,2,2,0,0
A 6,"The meteorologist statement described that as time went on the precipitation In  Charleston increased  little by little and thatês why it started flooding. But in 1963 the precipitation was  at its highest and Charleston wasnêt flooding, and hereês why because when thereês not enough permeable ground which is like soccer grass it soaks up the water like a sponge. But because  the population is growing  making the ground impermeable and not leaving enough permeable there was less space to soak up the water and as time went on they took up more and more space making the ground impermeable. From 1973 to 1983 the impermeable surface increased by 2 percent and from 1983 to 1993 it increased by 3 percent  the to 2003 3percent and to 2013 17 percent all in total 27 percent increase in impermeable land use. Causing less area for the rain and melted snow to go there for causing flooding in Charleston. If the city of Charleston were to grow even more in population the flooding would become worse the rain water has no were to go maybe if the city of Charleston were to install a draining  system  if a lake is over flooding from all the rain water a dam will work the streets over flooding some type of water tunnel  then that should fix the problem.",3,3,2,4
A 7,"Yes, precipitation can and does play a key role in flooding the land of many cities, but in this case this is not the reason Charleston is being flooded.  The real reason why Charleston is flooded is because the up-take in of constructing more than one type of surface that does not let water through or does not use it in any roots or simply does not soak up the rain/precipitation. The local meteorologistês claim is inaccurate because they have not really had a problem with the increase in precipitation or steady heavy flow of it in the past. If it was accurate, that would mean that way back in the year 1973, they would have had problems with the large amount of precipitation; but to which they did not have any problems. Between the years of 1963 and 2013, that is a total of 50 years. That was fifty years in which we had time to build a large numbers of buildings, sidewalks, parks and much, much more. Sidewalks help us walk close or near a road or even just on a path to where we donêt have to walk in the mud or dirt, thus, they donêt soak up any kind of water or dirt. They can and will block water from soaking into the ground for the grass and or plants. Buildings also take  up large areas of the ground, which gives less space and area for water or in this case, precipitation to be soaked up to avoid flooding.  Both of these things take up a lot of space all around the world. Just think, In Charleston they are constantly building because of the increase in the population. So the higher the population, the more they will build to keep the population housed and schooled. With more and more people in their city, the more buildings and sidewalks they will require to keep the population happy. So the more and more ground blockage that Charleston has, the less and less precipitation soaks into the ground instead of flooding the area. With nowhere to go, the rain just sits until it can be dried up. That is what caused all of the flooding in Charleston. The flooding in Charleston was caused by all of the developed impermeable surfaces that people were making. It was not because of the increase in the precipitation. Increase in precipitation over the years may have carved out many more streams, ponds and lakes to contain all of the water.  So if that was the case, the rise in precipitation would not have caused all of this.",,,,
A 8,"I would like to disagree with the Meteorologists argument that the flooding in Charleston has been caused by increase of rainfall. I believe that the flooding has been caused by the increase of developed-impermeable surfaces in Charleston. A developed-impermeable surface is a human made surface that doesnêt let water pass through such as sidewalks, roads, or buildings. This is my belief because since 1973 there has been a larger increase of developed-impermeable areas than permeable-areas and a decrease in natural areas. The flooding in Charleston has not been caused by the increase amount of rainfall because between the years of 1963 and 1973 there had been the same amount of rainfall but there were no floods and less developed-permeable areas, therefore letting the rain pass through more natural areas and it not flooding the developed-impermeable areas. ",3,4,4,4
A 9,I believe that Charlestonês flooding problems are due to the increase in developed land areas with impermeable surface .I believe this fact because the area didnêt have a flooding problem until 2005 which is two years after expansion started. The reasons why we are getting this problem is because water cannot go through concrete sidewalks and thus has to go into any area it can such as roads and rivers. If the land had been flat water would have just stayed and not pooled anywhere? Also the rate of impermeable surfaces increased over the period so the rate is almost the same as natural surfaces.,,,,
 A 10,Flooding can be very bad for a community so figuring out and solving the problem is high priority with dealing with an area that floods a lot. The meteorologist says it floods more because the precipitation has gone up since 2005. The science class has data that shows that the percentage of developed-impermeable surfaces has raised a lot since 2005. I think that the reason it is flooding is because humans keep expanding the city with things that retain water too well. The meteorologistês outlook is that the precipitation is what is causing Charleston to flood more often. This is wrong because one there is no data to back up his statement and also there are plenty other factors that affect flooding than just precipitation. The meteorologist didnêt say why it was just precipitation and nothing else. There isnêt much evidence that makes the meteorologistês claim right and the science class wrong. But I will say there is evidence to show that there has been more precipitation but that isnêt the only thing that causes it to flood. The science class has plenty of data showing how much the city structure has changed over the years. In 1973 there were 75 percent natural areas twelve percent developed-permeable surfaces and thirteen percent developed-impermeable surfaces. In 2013 there were 45 percent natural areas nineteen percent developed-permeable surfaces and 36 percent developed-impermeable surfaces. With this data to look at you can see that when the city started expanding it also lost so much of its permeable surfaces. When a city expands it usually just booms and goes straight into building factories and more roads. The city has more roads and building so there is less room for the water to be saturated into the ground so there is more standing water. With the increased precipitation the water stays there for longer and with it staying there longer it evaporates into the clouds which in turn make it rain more. The more the city expands without allowing for flood protection plans or without allowing water to pass through it will flood. The city of Charleston has flooded a lot since 2005. Many people have their theoryês on why it is flooding more. There is a meteorologist on that thinks itês the increase of precipitation. A science class has data showing that the city has expanded and the surfaces have changed since 1973. With all of these factors you can see why Charleston floods a lot. With that new cities need to look at this as an example.,4,4,4,4
