personA	personB	weight	release
373	242	40	2
329	304	14	2
319	173	111	2
399	391	1224	2
399	171	17	2
427	373	11	2
463	171	25	2
47	47	6	2
143	315	15	2
143	171	6	2
217	28	2	2
126	373	4	2
132	207	4	2
304	304	8081	2
304	56	270	2
206	304	8	2
220	143	125	2
304	424	86	2
304	217	34	2
295	304	23	2
258	206	12	2
373	449	8	2
373	243	18	2
333	333	5	2
319	217	36	2
399	399	19251	2
399	173	360	2
442	442	2	2
28	304	1	2
47	135	4	2
143	320	6	2
143	173	18	2
217	48	2	2
132	444	1	2
136	159	2	2
304	309	17	2
304	76	1	2
206	399	1	2
220	166	1	2
304	427	41	2
304	220	62	2
295	320	1	2
258	276	16	2
373	457	279	2
373	258	54	2
333	373	5	2
319	220	17	2
399	457	473	2
399	206	14	2
449	449	3	2
28	309	1	2
48	28	1	2
143	325	19	2
143	203	11	2
217	88	1	2
132	457	3	2
136	242	2	2
304	315	14	2
304	88	49	2
220	309	1	2
220	173	1	2
304	449	9	2
304	241	22	2
295	346	23	2
276	258	4	2
373	463	146	2
391	391	1990	2
391	159	74	2
335	304	8	2
319	248	62	2
399	463	466	2
399	217	4	2
463	373	64	2
42	399	43	2
48	143	3	2
143	335	40	2
143	206	37	2
217	143	9	2
135	304	13	2
146	146	4	2
304	320	15	2
304	132	27	2
220	319	1	2
220	217	2	2
304	457	832	2
304	242	5	2
295	391	9	2
276	276	37	2
391	399	1052	2
391	171	1	2
335	315	2	2
320	143	6	2
457	258	6	2
457	118	3	2
403	42	4	2
463	391	13	2
47	304	73	2
48	166	1	2
143	365	3	2
143	207	20	2
217	166	2	2
135	329	1	2
170	170	1	2
304	325	9	2
304	135	20	2
220	361	1	2
220	220	376	2
304	463	39	2
304	243	4	2
295	399	7	2
279	159	2	2
391	457	61	2
399	1	207	2
335	335	4	2
320	295	1	2
457	276	1	2
403	304	2	2
457	143	536	2
424	56	4	2
143	28	6	2
35	35	176	2
47	329	4	2
48	173	1	2
143	371	21	2
143	212	78	2
217	173	2	2
136	304	1	2
171	143	3	2
304	333	14	2
304	143	4560	2
242	304	1	2
242	159	2	2
373	304	1566	2
304	248	65	2
301	304	17	2
279	279	2	2
391	463	17	2
399	28	2	2
335	457	1	2
325	143	4	2
457	304	831	2
403	399	2	2
457	159	109	2
143	35	55	2
88	48	3	2
48	304	1	2
53	53	1	2
143	373	794	2
143	217	5	2
136	373	2	2
200	159	4	2
304	335	44	2
304	159	534	2
248	304	58	2
242	242	2	2
373	319	69	2
304	258	311	2
361	28	1	2
315	335	1	2
295	143	16	2
295	295	38	2
399	258	347	2
399	42	59	2
360	360	1	2
325	159	2	2
457	310	3	2
403	403	1	2
457	203	4	2
143	48	4	2
88	143	15	2
48	309	1	2
76	76	1	2
143	391	167	2
166	304	1	2
143	220	124	2
136	399	1	2
200	200	10	2
304	344	2	2
304	166	17	2
248	309	6	2
248	28	6	2
373	320	7	2
373	35	77	2
361	48	1	2
319	304	186	2
301	301	11	2
399	276	52	2
399	48	2	2
365	304	25	2
335	143	6	2
457	320	5	2
424	304	22	2
457	212	3	2
463	463	658	2
143	53	9	2
88	173	3	2
53	399	1	2
76	143	1	2
143	399	3161	2
166	309	1	2
143	241	18	2
146	399	3	2
203	143	4	2
304	346	27	2
304	170	6	2
248	319	55	2
248	48	6	2
373	325	28	2
346	295	5	2
373	53	4	2
361	88	3	2
319	309	18	2
304	467	13	2
399	304	5521	2
399	53	23	2
365	365	11	2
335	159	3	2
457	380	2	2
424	424	6	2
143	258	399	2
35	241	33	2
143	76	4	2
68	399	21	2
88	28	3	2
143	427	13	2
217	217	1	2
304	1	19	2
159	304	1046	2
203	203	3	2
304	361	15	2
304	171	3	2
248	361	6	2
248	88	18	2
373	333	12	2
346	304	5	2
373	63	2	2
361	143	6	2
319	319	284	2
315	159	1	2
399	309	2	2
399	76	4	2
371	304	4	2
360	159	1	2
457	391	27	2
143	276	83	2
35	304	99	2
143	88	6	2
89	304	55	2
88	88	3	2
143	457	538	2
217	304	2	2
304	28	17	2
170	304	2	2
203	212	3	2
304	365	35	2
304	173	145	2
248	399	6	2
248	143	49	2
373	344	10	2
346	346	7	2
373	143	1405	2
361	166	1	2
319	361	18	2
319	373	29	2
319	28	18	2
399	319	23	2
399	88	6	2
371	371	8	2
371	143	8	2
457	399	250	2
143	279	8	2
35	373	56	2
143	118	111	2
89	391	12	2
88	166	3	2
143	463	118	2
217	309	2	2
304	35	140	2
171	304	2	2
203	276	2	2
304	371	5	2
304	200	4	2
258	304	279	2
248	166	6	2
373	373	4843	2
346	391	4	2
373	159	3253	2
361	173	1	2
320	320	5	2
319	48	18	2
399	346	1	2
399	136	3	2
371	399	4	2
380	143	1	2
457	457	1391	2
143	295	6	2
56	304	243	2
143	143	5660	2
166	28	1	2
89	399	10	2
89	143	24	2
304	276	108	2
304	42	5	2
200	304	2	2
206	143	2	2
304	373	1111	2
304	203	33	2
258	373	9	2
248	173	33	2
373	380	5	2
346	399	3	2
373	171	6	2
320	391	4	2
319	88	54	2
399	361	2	2
399	143	4950	2
380	380	1	2
442	159	2	2
28	143	1	2
143	304	4078	2
88	217	5	2
143	159	367	2
166	143	1	2
98	304	82	2
126	126	8	2
304	279	6	2
304	47	59	2
200	399	1	2
220	28	1	2
304	380	3	2
304	206	22	2
276	304	70	2
248	217	12	2
373	391	230	2
361	217	2	2
373	200	24	2
325	325	3	2
319	143	128	2
399	371	17	2
399	159	3390	2
391	373	147	2
449	143	1	2
28	173	1	2
143	309	6	2
88	304	5	2
143	166	6	2
166	173	1	2
98	365	19	2
132	143	24	2
304	295	52	2
304	48	17	2
203	304	5	2
220	48	1	2
304	391	675	2
304	207	12	2
276	399	14	2
248	220	6	2
373	399	2023	2
361	304	3	2
373	206	2	2
325	373	4	2
319	166	18	2
399	373	2547	2
399	166	2	2
427	304	28	2
463	143	216	2
42	42	17	2
143	310	349	2
88	309	3	2
143	170	4	2
171	463	5	2
118	304	539	2
132	159	3	2
304	301	27	2
304	53	5	2
203	457	3	2
220	88	3	2
304	399	3767	2
304	212	247	2
276	457	1	2
258	143	191	2
373	427	9	2
361	309	1	2
373	207	37	2
308	328	1	2.1
373	25	1	2.1
282	143	33	2.1
391	427	4	2.1
399	30	1	2.1
373	364	3	2.1
369	430	2	2.1
373	185	1	2.1
369	116	2	2.1
451	373	5	2.1
384	384	1	2.1
451	258	4	2.1
458	116	3	2.1
68	10	4	2.1
24	143	70	2.1
143	216	11	2.1
45	399	3	2.1
60	60	1	2.1
