def.event_author_id,def.event_object_creator,a.native_author,b.native_creator,time.datetime,def.d_release,time.Year,time.Month,time.Day,def.event_url,def.row_type,weight,deo.Event_object_native_name
1260,1260,mik.kersten,mik.kersten,11-15-2005 14:45:49,0.5,2005,11,15,f48688c1-c0a8-0169-2a8c-eeea42c6a650,0,0.99,create performance test harness
1260,1260,mik.kersten,mik.kersten,12-06-2005 22:18:15,0.5,2005,12,6,f4868de8-c0a8-0169-2a8c-eeeaffbed87e,0,0.99,fix task list drag and drop
1604,1604,zaphod,zaphod,12-12-2005 22:01:55,0.5,2005,12,12,f4868ff9-c0a8-0169-2a8c-eeead5a78fce,0,0.99,"[context] make explicitly created resources interesting, and ignore others, e.g. from CVS checkout"
1260,1604,mik.kersten,zaphod,12-16-2005 11:25:20,0.5,2005,12,16,f4868ff9-c0a8-0169-2a8c-eeead5a78fce,0,0.013830269216621,"[context] make explicitly created resources interesting, and ignore others, e.g. from CVS checkout"
1260,1260,mik.kersten,mik.kersten,01-12-2006 13:27:30,0.5,2006,1,12,f4868ff9-c0a8-0169-2a8c-eeead5a78fce,1,0.0050128670681922,"[context] make explicitly created resources interesting, and ignore others, e.g. from CVS checkout"
1591,1591,mkochco,mkochco,03-02-2006 18:03:56,0.5,2006,3,2,f48697b3-c0a8-0169-2a8c-eeea02cb8a35,0,0.99,[connector] XPlanner
1260,1591,mik.kersten,mkochco,03-07-2006 20:41:22,0.5,2006,3,7,f48697b3-c0a8-0169-2a8c-eeea02cb8a35,0,0.0115413152219991,[connector] XPlanner
1264,1264,ekuleshov,ekuleshov,03-16-2006 00:39:46,0.5,2006,3,16,f486a10b-c0a8-0169-2a8c-eeeafd2c0308,0,0.99,provide focus for the Breakpoints view
1260,1264,mik.kersten,ekuleshov,03-16-2006 10:26:37,0.5,2006,3,16,f486a10b-c0a8-0169-2a8c-eeeafd2c0308,0,0.0408616729989433,provide focus for the Breakpoints view
1264,1260,ekuleshov,mik.kersten,03-16-2006 10:34:51,0.5,2006,3,16,f486a10b-c0a8-0169-2a8c-eeeafd2c0308,1,0.33,provide focus for the Breakpoints view
1629,1629,misja.alma,misja.alma,04-12-2006 04:43:51,0.6,2006,4,12,f486dd85-c0a8-0169-2a8c-eeea2938c947,0,0.99,[new eux] importing/promote/convert Eclipse todo tags/markers items to become tasks
1264,1629,ekuleshov,misja.alma,04-12-2006 11:28:22,0.6,2006,4,12,f486dd85-c0a8-0169-2a8c-eeea2938c947,0,0.0491934955049954,[new eux] importing/promote/convert Eclipse todo tags/markers items to become tasks
1264,1264,ekuleshov,ekuleshov,04-19-2006 10:33:22,0.6,2006,4,19,f486e7b8-c0a8-0169-2a8c-eeea8de3ba32,0,0.99,improve save lifecycle for new local tasks
1260,1264,mik.kersten,ekuleshov,04-19-2006 18:35:53,0.6,2006,4,19,f486e7b8-c0a8-0169-2a8c-eeea8de3ba32,0,0.0450465597641357,improve save lifecycle for new local tasks
1262,1629,wmitsuda,misja.alma,04-27-2006 15:25:03,0.6,2006,4,27,f486dd85-c0a8-0169-2a8c-eeea2938c947,0,0.00663816856513224,[new eux] importing/promote/convert Eclipse todo tags/markers items to become tasks
1262,1264,wmitsuda,ekuleshov,04-27-2006 15:25:03,0.6,2006,4,27,f486dd85-c0a8-0169-2a8c-eeea2938c947,1,0.00669944317165808,[new eux] importing/promote/convert Eclipse todo tags/markers items to become tasks
1260,1629,mik.kersten,misja.alma,04-27-2006 21:04:01,0.6,2006,4,27,f486dd85-c0a8-0169-2a8c-eeea2938c947,0,0.00658815198007414,[new eux] importing/promote/convert Eclipse todo tags/markers items to become tasks
1260,1264,mik.kersten,ekuleshov,04-27-2006 21:04:01,0.6,2006,4,27,f486dd85-c0a8-0169-2a8c-eeea2938c947,1,0.00664803945320939,[new eux] importing/promote/convert Eclipse todo tags/markers items to become tasks
