b.source_id	c.target_id	weight	release
143	28	0.018091525	2
143	35	0.043631021	2
143	48	0.012102325	2
143	53	0.006262394	2
143	76	0.058349866	2
143	88	0.008164032	2
143	118	0.089262379	2
143	143	0.012917215	2
143	159	0.055043087	2
143	166	0.018100967	2
143	170	0.099005	2
143	171	0.072384215	2
143	173	0.416464219	2
143	203	0.022104155	2
143	206	0.005243535	2
143	207	0.001832505	2
143	212	0.107194098	2
143	217	0.008681309	2
143	220	0.023360815	2
143	241	0.002641424	2
304	1	0.057033764	2
304	28	0.003135226	2
304	35	0.040875865	2
304	42	0.01656924	2
304	47	0.006443024	2
304	48	0.003137744	2
304	53	0.010305071	2
304	56	0.004467869	2
304	76	0.053421657	2
304	88	0.003330573	2
304	132	0.008719412	2
304	135	0.00827902	2
304	143	0.00802403	2
304	159	0.018184528	2
304	166	0.003135508	2
304	170	0.015095099	2
304	171	0.166944908	2
304	173	0.014399533	2
304	200	6.430868167	2
304	203	0.016215802	2
304	206	0.005501307	2
304	207	0.001499545	2
304	212	0.020418345	2
304	217	0.003280696	2
304	220	0.013944508	2
304	241	0.003094609	2
304	242	0.003849008	2
304	243	0.002554106	2
304	248	0.006661297	2
304	258	0.011154196	2
373	35	0.040034669	2
373	53	0.002747451	2
373	63	0.001296946	2
373	143	0.007872132	2
373	159	0.01450397	2
373	171	0.024813588	2
373	200	0.001195817	2
373	206	0.004055273	2
373	207	0.001219346	2
373	242	0.002244547	2
373	243	0.002547126	2
373	258	0.013205126	2
391	159	0.049615413	2
391	171	0.034435262	2
399	1	0.096262638	2
399	28	0.001485404	2
399	42	0.007619463	2
399	48	0.001485969	2
399	53	0.003205925	2
399	76	0.083689012	2
399	88	0.001556359	2
399	136	0.002456699	2
399	143	0.005737743	2
399	159	0.010376603	2
399	166	0.001485467	2
399	171	0.03206555	2
399	173	0.066437556	2
399	206	0.003588856	2
399	217	0.001517278	2
457	118	0.052789949	2
457	143	0.012880964	2
457	159	0.039969433	2
457	203	0.25152487	2
457	212	0.538020086	2
143	258	0.008633206	2
143	276	0.021002178	2
143	279	0.004506755	2
143	295	214.2857143	2
143	304	0.009177768	2
143	309	0.002004983	2
143	310	0.035052925	2
143	315	0.002573177	2
143	320	0.036860018	2
143	325	0.002557174	2
143	335	0.002415797	2
143	365	6.787330317	2
143	371	0.251638647	2
143	373	0.013586079	2
143	391	0.023936801	2
143	399	0.026849143	2
143	427	0.007661648	2
143	457	0.012525591	2
143	463	0.190728648	2
304	276	0.013796162	2
304	279	0.009674486	2
304	295	0.006541246	2
304	301	0.004323466	2
304	304	0.007606555	2
304	309	0.00131158	2
304	315	0.002432666	2
304	320	0.006878708	2
304	325	0.003117964	2
304	333	0.031426564	2
304	335	0.002209383	2
304	344	0.002548605	2
304	346	0.005647029	2
304	361	0.00474188	2
304	365	0.206464096	2
304	371	0.149916047	2
304	373	0.010326531	2
304	380	0.00366837	2
304	391	0.024547293	2
304	399	0.021664471	2
304	424	0.002344341	2
304	427	0.007754012	2
304	449	0.007414444	2
304	457	0.009659786	2
304	463	0.063334719	2
373	304	0.005810941	2
373	319	0.042062424	2
373	320	0.002677957	2
373	325	0.002109587	2
373	333	0.006717082	2
373	344	0.002822749	2
373	373	0.014595981	2
373	380	0.001999216	2
373	391	0.026236007	2
373	399	0.018553563	2
373	427	0.011506744	2
373	449	0.0048096	2
373	457	0.003495578	2
373	463	0.042861567	2
391	391	0.057633097	2
391	399	0.0091365	2
391	457	0.006282212	2
391	463	0.068917149	2
399	258	0.008630677	2
399	276	0.012544536	2
399	304	0.004525157	2
399	309	0.000895495	2
399	319	0.001466759	2
399	346	8.403361345	2
399	361	0.001873805	2
399	371	0.004840627	2
399	373	0.007700493	2
399	391	0.016053931	2
399	399	0.016967557	2
399	457	0.004815331	2
399	463	0.067961444	2
457	258	0.72446269	2
457	276	0.621118012	2
457	304	0.010738975	2
457	310	0.011663077	2
457	320	0.01613533	2
457	380	0.004281344	2
457	391	0.010582284	2
457	399	0.028362374	2
457	457	0.017633146	2
28	143	0.003941555	2
28	173	0.003941555	2
42	42	0.018816758	2
47	47	0.086767896	2
47	135	0.12287654	2
48	28	3.921568627	2
48	143	0.011794075	2
48	166	4.405286344	2
48	173	5.050505051	2
53	53	1	2
76	76	1	2
76	143	1	2
88	28	0.032581426	2
88	88	0.143396587	2
88	166	0.03261224	2
89	143	0.177920114	2
126	126	2.381661209	2
132	143	0.002922503	2
132	159	0.011066395	2
132	207	0.002362601	2
136	159	0.017141192	2
136	242	0.017466639	2
146	146	12.7388535	2
170	170	1	2
171	143	0.485751295	2
200	159	363.6363636	2
200	200	270.2702703	2
203	143	0.701016474	2
203	203	1.291433491	2
203	212	176.4705882	2
203	276	0.072809349	2
206	143	0.003065407	2
220	28	0.004699314	2
220	48	0.004704975	2
220	88	0.005491347	2
220	143	0.012556924	2
220	166	0.004699933	2
220	173	111.1111111	2
220	217	0.005033865	2
220	220	0.049753594	2
242	159	17.09401709	2
242	242	0.715051841	2
248	28	0.003793101	2
248	48	0.003796788	2
248	88	0.004292878	2
248	143	0.00429314	2
248	166	0.003793509	2
248	173	0.057172953	2
248	217	0.004008118	2
248	220	0.019670067	2
258	143	0.00950329	2
258	206	0.010522375	2
258	276	2.259887006	2
276	258	1.432151808	2
276	276	0.039412183	2
279	159	2000	2
279	279	2000	2
295	143	0.289687138	2
295	295	0.235058332	2
301	301	0.059038531	2
304	467	0.000933869	2
315	159	1.216545012	2
319	28	0.003781226	2
319	48	0.00378489	2
319	88	0.004277676	2
319	143	0.003891327	2
319	166	0.003781637	2
319	173	0.083747291	2
319	217	0.00399486	2
319	220	0.018057943	2
319	248	0.054675361	2
320	143	0.02702934	2
320	295	500	2
325	143	0.038732292	2
325	159	0.070045179	2
335	143	0.042117381	2
335	159	0.209966405	2
360	159	1	2
371	143	14.36265709	2
380	143	1	2
442	159	2.721088435	2
449	143	1	2
463	143	0.037905463	2
463	171	0.030822986	2
28	304	0.002292921	2
28	309	0.002254883	2
42	399	0.019579666	2
47	304	0.015113058	2
47	329	0.005584486	2
48	304	0.002291575	2
48	309	0.002253582	2
53	399	1	2
68	399	0.020211703	2
89	304	0.044780798	2
89	391	0.01775253	2
89	399	0.182615047	2
98	304	0.012165456	2
98	365	0.012371942	2
118	304	0.010195177	2
126	373	0.023965585	2
132	444	0.003624318	2
132	457	0.003126449	2
135	304	0.012070421	2
135	329	0.005850382	2
136	304	0.017866395	2
136	373	0.037125726	2
136	399	0.011137098	2
146	399	19.10828025	2
159	304	0.003001832	2
170	304	7.782101167	2
171	304	0.897263347	2
200	304	2000	2
200	399	1	2
203	304	0.161948565	2
203	457	0.207382829	2
206	304	0.010659305	2
206	399	0.026405429	2
220	309	0.00152374	2
220	319	0.08760403	2
220	361	0.013651318	2
242	304	8.547008547	2
248	304	0.007172533	2
248	309	0.001414188	2
248	319	0.052814687	2
248	361	0.008058526	2
248	399	0.019666392	2
258	304	0.010861145	2
258	373	0.123871394	2
276	304	0.045943184	2
276	399	0.079703049	2
276	457	1000	2
295	304	0.15007569	2
295	320	2.398081535	2
295	346	0.080839039	2
295	391	1.26227209	2
295	399	0.074870314	2
301	304	0.092230402	2
315	335	1.216545012	2
319	304	0.007509723	2
319	309	0.001412534	2
319	319	0.054036097	2
319	361	0.008005113	2
319	373	0.044156497	2
320	320	9.708737864	2
320	391	100	2
325	325	0.028988028	2
325	373	0.050775597	2
329	304	0.00142152	2
333	333	43.47826087	2
333	373	208.3333333	2
335	304	0.014307047	2
335	315	0.029915041	2
335	335	0.057867022	2
335	457	0.004804251	2
360	360	1	2
365	304	0.114840097	2
365	365	0.140663163	2
371	304	7.547169811	2
371	371	6.334125099	2
371	399	250	2
380	380	1	2
391	373	0.005590441	2
427	304	0.040497776	2
427	373	0.294590252	2
442	442	0.013397104	2
449	449	1000	2
463	373	0.076561251	2
463	391	0.064703013	2
35	35	0.046898353	2
88	48	0.032855469	2
88	143	0.013092993	2
88	173	0.085198228	2
143	45	1.100455903	2.1
143	116	0.008587223	2.1
143	148	0.011959796	2.1
166	28	35.71428571	2
166	143	0.003941104	2
166	173	35.71428571	2
171	463	0.574910889	2
217	28	0.070708856	2
217	48	0.072012386	2
217	88	3.546099291	2
217	143	0.014561457	2
217	166	0.070854147	2
217	173	29.85074627	2
304	13	0.080123711	2.1
304	14	0.03804017	2.1
304	24	0.167560322	2.1
304	25	0.00550052	2.1
304	30	0.154904269	2.1
304	33	0.037990132	2.1
304	45	0.0125103	2.1
304	54	0.013422939	2.1
304	65	0.011426169	2.1
304	89	0.012982943	2.1
304	108	0.025440833	2.1
304	112	0.012529832	2.1
304	116	0.008607522	2.1
304	120	0.063924314	2.1
304	122	0.010275297	2.1
304	126	0.013704544	2.1
304	131	0.007484778	2.1
304	133	0.006925993	2.1
304	136	0.003747606	2.1
304	141	0.003694606	2.1
304	148	0.012068805	2.1
304	150	0.004849425	2.1
304	168	0.476644423	2.1
304	172	0.041159039	2.1
304	178	0.005199181	2.1
304	181	0.007988121	2.1
304	185	0.003866106	2.1
304	188	0.011902353	2.1
304	194	0.863930886	2.1
304	195	0.079765596	2.1
304	196	0.00573607	2.1
304	205	0.15737017	2.1
361	28	0.007166198	2
361	48	0.007179369	2
361	88	0.00918687	2
361	143	0.005801384	2
361	166	0.007167688	2
