b.source_id	c.target_id	weight	release
143	45	7	2.1
143	116	12	2.1
143	148	28	2.1
304	13	10	2.1
304	14	1	2.1
304	24	1	2.1
304	25	8	2.1
304	30	5	2.1
304	33	16	2.1
304	45	15	2.1
304	54	6	2.1
304	65	10	2.1
304	89	110	2.1
304	108	9	2.1
304	112	32	2.1
304	116	31	2.1
304	120	2	2.1
304	122	14	2.1
304	126	4	2.1
304	131	16	2.1
304	133	16	2.1
304	136	2	2.1
304	141	6	2.1
304	148	57	2.1
304	150	7	2.1
304	168	2	2.1
304	172	8	2.1
304	178	7	2.1
304	181	100	2.1
304	185	9	2.1
304	188	26	2.1
304	194	8	2.1
304	195	15	2.1
304	196	69	2.1
304	205	9	2.1
