b.source_id	c.target_id	weight	release
143	28	331647	2
143	35	1260571	2
143	48	330515	2
143	53	1437150	2
143	76	68552	2
143	88	734931	2
143	118	1243525	2
143	143	438174932	2
143	159	6667504	2
143	166	331474	2
143	170	40402	2
143	171	82891	2
143	173	43221	2
143	203	497644	2
143	206	7056309	2
143	207	10914020	2
143	212	727652	2
143	217	575950	2
143	220	5308034	2
143	241	6814505	2
304	1	333136	2
304	28	5422257	2
304	35	3425004	2
304	42	301764	2
304	47	9157191	2
304	48	5417905	2
304	53	485198	2
304	56	60431501	2
304	76	18719	2
304	88	14712181	2
304	132	3096539	2
304	135	2415745	2
304	143	568293006	2
304	159	29365624	2
304	166	5421769	2
304	170	397480	2
304	171	17970	2
304	173	10069771	2
304	200	622	2
304	203	2035052	2
304	206	3999050	2
304	207	8002425	2
304	212	12096965	2
304	217	10363655	2
304	220	4446195	2
304	241	7109138	2
304	242	1299036	2
304	243	1566106	2
304	248	9757860	2
304	258	27881885	2
373	35	1923333	2
373	53	1455895	2
373	63	1542084	2
373	143	178477687	2
373	159	224283428	2
373	171	241803	2
373	200	20069954	2
373	206	493185	2
373	207	30344137	2
373	242	17820971	2
373	243	7066787	2
373	258	4089321	2
391	159	1491472	2
391	171	29040	2
399	1	2150367	2
399	28	1346435	2
399	42	7743328	2
399	48	1345923	2
399	53	7174216	2
399	76	47796	2
399	88	3855151	2
399	136	1221151	2
399	143	862708624	2
399	159	326696510	2
399	166	1346378	2
399	171	530164	2
399	173	5418622	2
399	206	3900965	2
399	217	2636300	2
457	118	56829	2
457	143	41611791	2
457	159	2727084	2
457	203	15903	2
457	212	5576	2
143	258	46216896	2
143	276	3951971	2
143	279	1775113	2
143	295	28	2
143	304	444334626	2
143	309	2992544	2
143	310	9956373	2
143	315	5829370	2
143	320	162778	2
143	325	7430077	2
143	335	16557681	2
143	365	442	2
143	371	83453	2
143	373	58442174	2
143	391	6976705	2
143	399	117731878	2
143	427	1696763	2
143	457	42952064	2
143	463	618680	2
304	276	7828264	2
304	279	620188	2
304	295	7949556	2
304	301	6244989	2
304	304	1062373233	2
304	309	12961463	2
304	315	5755004	2
304	320	2180642	2
304	325	2886499	2
304	333	445483	2
304	335	19915065	2
304	344	784743	2
304	346	4781275	2
304	361	3163302	2
304	365	169521	2
304	371	33352	2
304	373	107586953	2
304	380	817802	2
304	391	27497940	2
304	399	173879163	2
304	424	36684082	2
304	427	5287585	2
304	449	1213847	2
304	457	86130276	2
304	463	615776	2
373	304	269491614	2
373	319	1640419	2
373	320	2613933	2
373	325	13272741	2
373	333	1786490	2
373	344	3542646	2
373	373	331803668	2
373	380	2500981	2
373	391	8766578	2
373	399	109035660	2
373	427	782150	2
373	449	1663340	2
373	457	79815135	2
373	463	3406315	2
391	391	34528771	2
391	399	115142564	2
391	457	9709955	2
391	463	246673	2
399	258	40205423	2
399	276	4145231	2
399	304	1220068206	2
399	309	2233401	2
399	319	15680833	2
399	346	119	2
399	361	1067347	2
399	371	3511942	2
399	373	330758056	2
399	391	76243010	2
399	399	1134576991	2
399	457	98227932	2
399	463	6856829	2
457	258	8282	2
457	276	1610	2
457	304	77381690	2
457	310	257222	2
457	320	309879	2
457	380	467143	2
457	391	2551434	2
457	399	8814495	2
457	457	78885527	2
28	143	253707	2
28	173	253707	2
42	42	903450	2
47	47	69150	2
47	135	32553	2
48	28	255	2
48	143	254365	2
48	166	227	2
48	173	198	2
53	53	0	2
76	76	0	2
76	143	0	2
88	28	92077	2
88	88	20921	2
88	166	91990	2
89	143	134892	2
126	126	3359	2
132	143	8212140	2
132	159	271091	2
132	207	1693049	2
136	159	116678	2
136	242	114504	2
146	146	314	2
170	170	0	2
171	143	6176	2
200	159	11	2
200	200	37	2
203	143	5706	2
203	203	2323	2
203	212	17	2
203	276	27469	2
206	143	652442	2
220	28	212797	2
220	48	212541	2
220	88	546314	2
220	143	9954667	2
220	166	212769	2
220	173	9	2
220	217	397309	2
220	220	7557243	2
242	159	117	2
242	242	2797	2
248	28	1581819	2
