personA	personB	weight	release
391	220	29	3.2
391	218	8	3.2
351	310	2	3.2
344	118	2	3.2
399	401	8	3.2
399	204	4	3.2
374	391	7	3.2
416	143	10	3.2
67	399	4	3.2
74	118	5	3.2
159	386	8	3.2
106	159	8	3.2
123	399	6	3.2
118	108	2	3.2
236	373	4	3.2
214	6	25	3.2
391	336	2	3.2
351	351	100	3.2
351	118	27	3.2
399	214	49	3.2
383	343	3	3.2
86	218	2	3.2
86	86	3	3.2
177	416	4	3.2
125	214	8	3.2
118	124	25	3.2
204	416	1	3.2
236	399	11	3.2
214	125	4	3.2
391	351	7	3.2
351	399	16	3.2
352	118	5	3.2
383	383	3	3.2
87	258	3	3.2
87	87	14	3.2
143	106	1	3.2
125	220	4	3.2
118	132	21	3.2
252	252	1	3.2
220	6	3	3.2
391	369	4	3.2
399	6	48	3.2
352	352	11	3.2
359	118	9	3.2
416	416	1078	3.2
383	399	18	3.2
446	9	12	3.2
87	391	1	3.2
91	91	1	3.2
125	399	19	3.2
123	123	7	3.2
252	399	1	3.2
225	118	1	3.2
238	159	2	3.2
391	374	13	3.2
399	67	12	3.2
356	356	7	3.2
366	118	6	3.2
393	393	1	3.2
446	68	2	3.2
91	399	2	3.2
91	98	5	3.2
159	45	2	3.2
138	304	3	3.2
123	159	16	3.2
257	391	3	3.2
258	87	2	3.2
399	87	36	3.2
359	220	29	3.2
373	441	1	3.2
394	258	1	3.2
446	118	19	3.2
118	225	6	3.2
91	197	2	3.2
159	106	1	3.2
168	399	1	3.2
124	118	12	3.2
373	45	2	3.2
257	399	4	3.2
258	106	1	3.2
399	252	2	3.2
399	91	18	3.2
359	359	44	3.2
374	118	12	3.2
394	399	5	3.2
447	118	1	3.2
6	6	17	3.2
68	196	14	3.2
114	452	1	3.2
118	310	15	3.2
98	91	11	3.2
159	123	88	3.2
169	399	3	3.2
197	197	1	3.2
124	124	13	3.2
304	351	15	3.2
373	123	63	3.2
304	454	11	3.2
399	263	3	3.2
399	106	247	3.2
359	399	74	3.2
391	438	4	3.2
416	204	7	3.2
454	118	1	3.2
9	9	27	3.2
118	446	45	3.2
118	341	8	3.2
98	197	8	3.2
197	399	1	3.2
125	6	12	3.2
337	242	2	3.2
337	304	3	3.2
310	118	17	3.2
399	296	8	3.2
399	123	50	3.2
362	362	1	3.2
393	118	1	3.2
429	399	1	3.2
9	68	6	3.2
118	447	4	3.2
118	342	23	3.2
106	444	2	3.2
204	336	2	3.2
125	125	1	3.2
337	337	14	3.2
337	136	1	3.2
399	312	37	3.2
399	125	3	3.2
362	399	1	3.2
399	429	4	3.2
416	304	19	3.2
446	342	2	3.2
9	118	37	3.2
106	304	59	3.2
118	454	12	3.2
118	344	8	3.2
108	118	1	3.2
204	399	2	3.2
127	127	10	3.2
373	337	9	3.2
391	10	6	3.2
337	373	28	3.2
337	159	65	3.2
399	337	10	3.2
399	127	51	3.2
363	363	1	3.2
399	444	8	3.2
416	336	14	3.2
429	429	1	3.2
452	399	1	3.2
6	214	11	3.2
10	106	2	3.2
106	399	133	3.2
118	351	61	3.2
118	9	205	3.2
214	214	19	3.2
138	138	6	3.2
373	351	2	3.2
391	86	12	3.2
343	416	1	3.2
337	399	5	3.2
341	118	10	3.2
399	343	5	3.2
399	138	4	3.2
366	366	2	3.2
399	452	3	3.2
416	343	7	3.2
454	304	6	3.2
6	220	9	3.2
10	118	8	3.2
118	352	20	3.2
118	10	2	3.2
214	220	12	3.2
159	444	24	3.2
373	374	3	3.2
391	87	2	3.2
341	341	4	3.2
342	9	5	3.2
399	351	122	3.2
399	168	3	3.2
369	374	3	3.2
399	454	21	3.2
416	383	20	3.2
446	446	1	3.2
466	373	1	3.2
6	399	19	3.2
10	196	21	3.2
118	359	15	3.2
118	23	3	3.2
214	399	38	3.2
168	168	1	3.2
373	378	1	3.2
391	118	300	3.2
391	127	3	3.2
343	399	3	3.2
342	68	1	3.2
399	355	10	3.2
399	169	7	3.2
369	391	1	3.2
399	455	3	3.2
447	447	1	3.2
466	399	3	3.2
9	342	1	3.2
45	159	1	3.2
159	238	8	3.2
106	10	3	3.2
118	366	4	3.2
118	68	370	3.2
220	359	1	3.2
169	169	2	3.2
373	401	5	3.2
391	177	15	3.2
344	312	1	3.2
342	118	9	3.2
399	359	52	3.2
399	177	357	3.2
374	369	1	3.2
416	1	43	3.2
452	452	1	3.2
9	344	3	3.2
67	67	7	3.2
159	246	6	3.2
106	118	2	3.2
118	393	3	3.2
118	74	5	3.2
225	225	1	3.2
196	10	6	3.2
391	204	1	3.2
383	416	4	3.2
351	304	8	3.2
344	9	2	3.2
399	383	6	3.2
399	197	9	3.2
374	373	1	3.2
416	106	4	3.2
454	454	6	3.2
10	391	4	3.2
74	74	2	3.2
159	337	54	3.2
106	143	2	3.2
123	373	5	3.2
118	106	1	3.2
236	364	4	3.2
204	127	3	3.2
