personA	personB	weight	release
310	216	24	3
382	143	4	3
386	386	8	3
399	26	4	3
399	414	65	3
457	89	12	3
455	455	1	3
50	143	10	3
92	457	8	3
26	382	1	3
74	182	3	3
143	246	9	3
105	399	1	3
238	457	1	3
216	373	60	3
224	159	15	3
302	399	7	3
318	57	1	3
304	414	22	3
382	149	1	3
386	399	9	3
399	31	4	3
399	426	4	3
459	459	2	3
50	159	13	3
105	467	1	3
26	399	2	3
82	143	3	3
143	331	2	3
246	246	12	3
216	399	1444	3
318	151	1	3
304	426	4	3
326	117	3	3
382	233	8	3
391	414	7	3
399	34	2	3
399	453	8	3
7	304	1	3
68	43	2	3
56	397	2	3
82	159	1	3
143	382	1	3
159	39	5	3
255	255	1	3
224	224	1	3
258	118	64	3
350	57	2	3
308	399	1	3
326	129	4	3
382	237	2	3
399	237	19	3
399	39	11	3
414	399	24	3
50	304	5	3
106	106	316	3
57	399	1	3
92	92	6	3
143	397	5	3
159	50	22	3
261	143	3	3
224	373	10	3
287	102	1	3
373	461	3	3
326	224	2	3
326	373	5	3
326	132	1	3
391	467	2	3
399	238	47	3
399	50	62	3
414	414	41	3
50	399	21	3
109	109	3	3
74	304	1	3
92	143	12	3
143	414	14	3
159	82	7	3
151	350	1	3
287	457	5	3
238	304	6	3
304	7	3	3
329	329	1	3
326	159	8	3
382	304	1	3
397	10	1	3
399	246	37	3
399	57	5	3
406	406	16	3
457	238	2	3
68	244	2	3
118	216	567	3
74	399	8	3
93	159	1	3
159	237	5	3
159	89	29	3
151	399	1	3
302	105	1	3
238	399	26	3
304	11	1	3
263	455	1	3
373	237	1	3
382	399	2	3
397	34	1	3
399	250	1	3
399	82	4	3
426	297	1	3
11	102	1	3
68	331	4	3
82	297	1	3
93	200	4	3
159	249	19	3
159	98	12	3
246	399	18	3
304	459	6	3
250	250	1	3
304	18	151	3
302	467	1	3
373	261	1	3
373	39	1	3
397	304	25	3
397	43	1	3
399	255	5	3
399	98	50	3
426	304	3	3
11	143	2	3
68	397	2	3
133	181	1	3
82	304	4	3
159	297	7	3
159	136	27	3
255	399	1	3
304	461	1	3
250	304	1	3
304	50	1	3
314	314	1	3
373	271	1	3
373	93	5	3
397	331	2	3
397	56	17	3
399	297	4	3
399	109	4	3
426	305	1	3
426	143	3	3
11	181	10	3
109	304	21	3
137	137	8	3
82	305	1	3
109	457	6	3
159	305	7	3
159	196	2	3
261	301	2	3
304	82	3	3
314	399	1	3
373	296	2	3
373	98	12	3
397	424	4	3
397	68	1	3
399	305	4	3
399	137	8	3
426	373	1	3
426	159	1	3
18	18	254	3
109	391	3	3
82	373	1	3
159	326	1	3
159	224	3	3
261	304	5	3
304	250	2	3
304	92	17	3
318	255	1	3
373	326	1	3
373	126	4	3
397	143	9	3
399	314	3	3
399	149	4	3
453	399	2	3
11	287	1	3
26	143	4	3
109	399	17	3
143	7	1	3
82	426	1	3
151	57	1	3
159	369	2	3
216	118	360	3
261	399	4	3
304	261	5	3
304	105	5	3
318	350	1	3
318	399	2	3
373	360	4	3
373	136	19	3
397	244	1	3
399	350	9	3
399	151	5	3
453	453	2	3
11	304	14	3
26	149	1	3
118	258	52	3
143	26	1	3
92	271	4	3
151	255	1	3
159	391	72	3
216	143	257	3
263	399	1	3
304	271	9	3
304	106	73	3
350	255	2	3
373	369	3	3
373	224	2	3
399	369	19	3
399	187	2	3
455	399	1	3
11	391	1	3
26	233	8	3
133	391	1	3
143	43	1	3
92	304	51	3
159	461	2	3
159	426	7	3
216	216	2740	3
296	296	2	3
304	297	4	3
304	138	1	3
350	399	3	3
373	386	2	3
377	143	4	3
399	382	4	3
399	200	12	3
459	391	2	3
11	399	1	3
26	237	2	3
137	308	1	3
143	50	3	3
92	373	4	3
173	457	6	3
173	310	1	3
224	117	6	3
296	373	2	3
304	302	2	3
304	215	6	3
364	373	2	3
373	402	1	3
391	105	2	3
399	386	37	3
399	216	1610	3
7	7	1	3
11	457	5	3
18	304	148	3
57	255	1	3
137	399	6	3
143	193	1	3
93	373	1	3
187	187	2	3
216	304	349	3
224	129	8	3
302	304	22	3
304	305	4	3
308	137	1	3
377	399	2	3
391	131	30	3
399	397	13	3
414	143	13	3
426	457	2	3
50	50	34	3
82	457	2	3
26	304	1	3
74	133	1	3
143	244	1	3
105	304	18	3
216	457	24	3
216	310	114	3
224	132	2	3
302	391	2	3
304	397	32	3
